ID,Material,Formula,Category,Phase,Equation,A,B,C,D,E,Tmin,Tmax,Unit,Source
1,Aluminum,Al,Metal,Solid,Shomate,28.0892,-5.414849,8.560423,3.42737,-0.277375,298,933,J/mol·K,NIST Chemistry WebBook
2,Copper,Cu,Metal,Solid,Shomate,17.72891,28.0987,-31.25289,13.97243,0.068611,298,1358,J/mol·K,NIST Chemistry WebBook
3,Iron,Fe,Metal,Solid,Shomate,18.42868,24.64301,-8.91372,9.664706,-0.05781,298,700,J/mol·K,NIST Chemistry WebBook
3,Iron,Fe,Metal,Solid,Shomate,-57767.65,137919.7,-122773.2,38682.42,-1.093303,700,1042,J/mol·K,NIST Chemistry WebBook
3,Iron,Fe,Metal,Solid,Shomate,23.97449,8.36775,0.000277,-0.000086,-0.001,298,1809,J/mol·K,NIST Chemistry WebBook
4,Nickel,Ni,Metal,Solid,Shomate,13.6916,82.49509,-174.9548,161.6011,-0.092417,298,600,J/mol·K,NIST Chemistry WebBook
4,Nickel,Ni,Metal,Solid,Shomate,1248.045,-1257.51,0,0,-165.1266,600,700,J/mol·K,NIST Chemistry WebBook
4,Nickel,Ni,Metal,Solid,Shomate,16.49839,18.74913,-6.639841,1.717278,1.872051,700,1728,J/mol·K,NIST Chemistry WebBook
4,Nickel,Ni,Metal,Liquid,Shomate,38.91103,0,0,0,0,1728,3156.584,J/mol·K,NIST Chemistry WebBook
5,Zinc,Zn,Metal,Solid,Shomate,25.60123,-4.405292,20.42206,-7.399697,-0.045801,298,692.73,J/mol·K,NIST Chemistry WebBook
5,Zinc,Zn,Metal,Liquid,Shomate,31.38004,-9.65E-09,6.80E-09,-1.57E-09,-3.25E-10,692.73,1180.173,J/mol·K,NIST Chemistry WebBook
6,Chromium,Cr,Metal,Solid,Shomate,7.489737,71.50498,-91.67562,46.0445,0.138157,298,600,J/mol·K,NIST Chemistry WebBook
6,Chromium,Cr,Metal,Solid,Shomate,18.46508,5.477986,7.904329,-1.147848,1.265791,600,2130,J/mol·K,NIST Chemistry WebBook
7,Molybdenum,Mo,Metal,Solid,Shomate,24.72736,3.960425,-1.270706,1.153065,-0.170246,298,1900,J/mol·K,NIST Chemistry WebBook
7,Molybdenum,Mo,Metal,Solid,Shomate,1231.192,-963.4246,283.7292,-28.041,-712.2047,1900,2896,J/mol·K,NIST Chemistry WebBook
7,Molybdenum,Mo,Metal,Liquid,Shomate,37.65604,-7.19E-08,1.41E-08,-9.53E-10,-1.56E-07,2896,4951.969,J/mol·K,NIST Chemistry WebBook
8,Manganese,Mn,Metal,Solid,Shomate,27.2419,5.23764,7.78316,-2.118501,-0.282113,298,980,J/mol·K,NIST Chemistry WebBook
8,Manganese,Mn,Metal,Solid,Shomate,52.2987,-28.6756,21.4867,-4.97985,-2.43206,980,1361,J/mol·K,NIST Chemistry WebBook
8,Manganese,Mn,Metal,Solid,Shomate,19.0645,31.4134,-14.9935,3.214741,1.86709,1361,1412,J/mol·K,NIST Chemistry WebBook
8,Manganese,Mn,Metal,Solid,Shomate,-534.172,679.053,-296.37,46.4266,161.342,1412,1519,J/mol·K,NIST Chemistry WebBook
9,Niobium,Nb,Metal,Solid,Shomate,22.0143,9.88816,-5.64853,1.759691,0.021839,298,2750,J/mol·K,NIST Chemistry WebBook
10,Tantalum,Ta,Metal,Solid,Shomate,20.69482,17.29992,-15.68987,5.608694,0.061581,298,1300,J/mol·K,NIST Chemistry WebBook
10,Tantalum,Ta,Metal,Solid,Shomate,-43.87133,73.02084,-27.40796,4.004682,26.30414,1300,3258,J/mol·K,NIST Chemistry WebBook
10,Tantalum,Ta,Metal,Liquid,Shomate,41.84,2.44E-08,-4.83E-09,3.27E-10,5.24E-08,3258,5778.07,J/mol·K,NIST Chemistry WebBook
11,Tungsten,W,Metal,Solid,Shomate,23.81788,1.889459,-0.891479,0.142025,-0.012686,298,1900,J/mol·K,NIST Chemistry WebBook
11,Tungsten,W,Metal,Solid,Shomate,-22.6173,48.4467,-20.704,3.737277,-1.83,1900,3680,J/mol·K,NIST Chemistry WebBook
